brand,buy_price,sell_price,date
SJC,168500,171500,2026-04-09 14:56:53
DOJI HN,168500,171500,2026-04-09 14:56:53
DOJI SG,168500,171500,2026-04-09 14:56:53
BTMH,167500,171500,2026-04-09 14:56:53
BTMC SJC,168500,171500,2026-04-09 14:56:53
Phú Qúy SJC,168300,171500,2026-04-09 14:56:53
PNJ TP.HCM,168000,171000,2026-04-09 14:56:53
PNJ Hà Nội,168000,171000,2026-04-09 14:56:53
SJC,169700,172700,2026-04-10 04:09:19
DOJI HN,169700,172700,2026-04-10 04:09:19
DOJI SG,169700,172700,2026-04-10 04:09:19
BTMH,169700,172700,2026-04-10 04:09:19
BTMC SJC,169700,172700,2026-04-10 04:09:19
Phú Qúy SJC,169700,172700,2026-04-10 04:09:19
PNJ TP.HCM,169200,172200,2026-04-10 04:09:19
PNJ Hà Nội,169200,172200,2026-04-10 04:09:19
SJC,169700,172700,2026-04-10 06:54:17
DOJI HN,169700,172700,2026-04-10 06:54:17
DOJI SG,169700,172700,2026-04-10 06:54:17
BTMH,169700,172700,2026-04-10 06:54:17
BTMC SJC,169700,172700,2026-04-10 06:54:17
Phú Qúy SJC,169700,172700,2026-04-10 06:54:17
PNJ TP.HCM,169200,172200,2026-04-10 06:54:17
PNJ Hà Nội,169200,172200,2026-04-10 06:54:17
SJC,169700,172700,2026-04-10 10:10:21
DOJI HN,169700,172700,2026-04-10 10:10:21
DOJI SG,169700,172700,2026-04-10 10:10:21
BTMH,169700,172700,2026-04-10 10:10:21
BTMC SJC,169700,172700,2026-04-10 10:10:21
Phú Qúy SJC,169700,172700,2026-04-10 10:10:21
PNJ TP.HCM,169200,172200,2026-04-10 10:10:21
PNJ Hà Nội,169200,172200,2026-04-10 10:10:21
SJC,169700,172700,2026-04-10 14:17:59
DOJI HN,169700,172700,2026-04-10 14:17:59
DOJI SG,169700,172700,2026-04-10 14:17:59
BTMH,169700,172700,2026-04-10 14:17:59
BTMC SJC,169700,172700,2026-04-10 14:17:59
Phú Qúy SJC,169700,172700,2026-04-10 14:17:59
PNJ TP.HCM,169200,172200,2026-04-10 14:17:59
PNJ Hà Nội,169200,172200,2026-04-10 14:17:59
SJC,169400,172400,2026-04-11 03:38:53
DOJI HN,169400,172400,2026-04-11 03:38:53
DOJI SG,169400,172400,2026-04-11 03:38:53
